lr,dropout,batch_train,rnn_size,rnn_layers,bidirectional,score
0.006164592042857216,0.2867161064895204,64,128,2,False,0.19078947368421054
0.007792580429767332,0.38637454191104936,64,128,2,False,0.19473684210526315
0.00011755248937106756,0.27862245907818306,64,128,2,False,0.3263157894736842
0.008383863675561501,0.56440210984298,64,128,2,False,0.19342105263157894
0.008458193879869588,0.22317863318105638,64,128,2,False,0.17105263157894737
0.00013556289124782577,0.13376092582702878,64,128,2,False,0.33421052631578946
0.009572979947021866,0.31205526459623123,64,128,2,False,0.1881578947368421
0.0002831730585633783,0.48876680789671,64,128,2,False,0.2736842105263158
0.0007163285659640695,0.16435500873013156,64,128,2,False,0.23421052631578948
0.0032914034399152184,0.11741204518426115,64,128,2,False,0.18421052631578946
0.0010956014920754224,0.1355968960238885,64,128,1,False,0.23157894736842105
0.006864454280424236,0.4144854806880487,64,128,1,False,0.1763157894736842
0.000746289574035359,0.5729404665753441,64,128,1,False,0.18289473684210528
0.00019165306461183857,0.40781031056207084,64,128,1,False,0.24736842105263157
0.000941673888918407,0.40780171356212946,64,128,1,False,0.21578947368421053
0.00033376236328978154,0.3550695983232195,64,128,1,False,0.25921052631578945
0.0006457226525188291,0.5274707315997516,64,128,1,False,0.22631578947368422
